# This file was produced by the NASA Exoplanet Archive  http://exoplanetarchive.ipac.caltech.edu
# Fri Jan 20 08:11:24 2023
#
# User preference: *
#
# CONSTRAINT:  where (sy_pnum > 1)
# CONSTRAINT:  order by sy_dist asc
#
# COLUMN pl_name:        Planet Name
# COLUMN hostname:       Host Name
# COLUMN sy_snum:        Number of Stars
# COLUMN sy_pnum:        Number of Planets
# COLUMN discoverymethod: Discovery Method
# COLUMN disc_year:      Discovery Year
# COLUMN disc_instrument: Discovery Instrument
# COLUMN pl_orbper:      Orbital Period [days]
# COLUMN pl_orbsmax:     Orbit Semi-Major Axis [au])
# COLUMN pl_rade:        Planet Radius [Earth Radius]
# COLUMN pl_radj:        Planet Radius [Jupiter Radius]
# COLUMN pl_bmasse:      Planet Mass or Mass*sin(i) [Earth Mass]
# COLUMN pl_bmassj:      Planet Mass or Mass*sin(i) [Jupiter Mass]
# COLUMN pl_bmassprov:   Planet Mass or Mass*sin(i) Provenance
# COLUMN pl_dens:        Planet Density [g/cm**3]
# COLUMN pl_orbeccen:    Eccentricity
# COLUMN pl_insol:       Insolation Flux [Earth Flux]
# COLUMN pl_eqt:         Equilibrium Temperature [K]
# COLUMN pl_orbincl:     Inclination [deg]
# COLUMN pl_tranmid:     Transit Midpoint [days]
# COLUMN ttv_flag:       Data show Transit Timing Variations
# COLUMN pl_imppar:      Impact Parameter
# COLUMN pl_trandep:     Transit Depth [%]
# COLUMN pl_trandur:     Transit Duration [hours]
# COLUMN pl_ratdor:      Ratio of Semi-Major Axis to Stellar Radius
# COLUMN pl_ratror:      Ratio of Planet to Stellar Radius
# COLUMN pl_occdep:      Occultation Depth [%]
# COLUMN pl_orbtper:     Epoch of Periastron [days]
# COLUMN pl_orblper:     Argument of Periastron [deg]
# COLUMN pl_rvamp:       Radial Velocity Amplitude [m/s]
# COLUMN pl_projobliq:   Projected Obliquity [deg]
# COLUMN pl_trueobliq:   True Obliquity [deg]
# COLUMN st_spectype:    Spectral Type
# COLUMN st_teff:        Stellar Effective Temperature [K]
# COLUMN st_rad:         Stellar Radius [Solar Radius]
# COLUMN st_mass:        Stellar Mass [Solar mass]
# COLUMN st_met:         Stellar Metallicity [dex]
# COLUMN st_metratio:    Stellar Metallicity Ratio
# COLUMN st_lum:         Stellar Luminosity [log(Solar)]
# COLUMN st_logg:        Stellar Surface Gravity [log10(cm/s**2)]
# COLUMN st_age:         Stellar Age [Gyr]
# COLUMN st_dens:        Stellar Density [g/cm**3]
# COLUMN st_vsin:        Stellar Rotational Velocity [km/s]
# COLUMN st_rotp:        Stellar Rotational Period [days]
# COLUMN st_radv:        Systemic Radial Velocity [km/s]
# COLUMN rastr:          RA [sexagesimal]
# COLUMN ra:             RA [deg]
# COLUMN decstr:         Dec [sexagesimal]
# COLUMN dec:            Dec [deg]
# COLUMN sy_dist:        Distance [pc]
# COLUMN sy_gaiamag:     Gaia Magnitude
#
pl_name,hostname,sy_snum,sy_pnum,discoverymethod,disc_year,disc_instrument,pl_orbper,pl_orbsmax,pl_rade,pl_radj,pl_bmasse,pl_bmassj,pl_bmassprov,pl_dens,pl_orbeccen,pl_insol,pl_eqt,pl_orbincl,pl_tranmid,ttv_flag,pl_imppar,pl_trandep,pl_trandur,pl_ratdor,pl_ratror,pl_occdep,pl_orbtper,pl_orblper,pl_rvamp,pl_projobliq,pl_trueobliq,st_spectype,st_teff,st_rad,st_mass,st_met,st_metratio,st_lum,st_logg,st_age,st_dens,st_vsin,st_rotp,st_radv,rastr,ra,decstr,dec,sy_dist,sy_gaiamag
Kepler-444 b,Kepler-444,3,5,Transit,2015,Kepler CCD Array,3.60010530,0.041780,0.403,0.036,0.03740,0.00012,M-R relationship,3.140000,0.160000,225.74,938,88.000,2454966.259900,0,0.4000,0.002750,2.0452000,11.951000,0.00491,,,,,,,K,5046.00,0.75,0.76,-0.550,[Fe/H],-0.425,4.56,11.230,2.49300,2.0000,,-121.90,19h19m00.68s,289.7528323,+41d37m54.78s,41.6318840,36.4396000,8.6432510
Kepler-444 c,Kepler-444,3,5,Transit,2015,Kepler CCD Array,4.54588410,0.048810,0.497,0.044,0.07930,0.00025,M-R relationship,3.550000,0.310000,165.73,868,88.200,2454964.522000,0,0.4200,0.004400,1.7367000,13.961000,0.00605,,,,,,,K,5046.00,0.75,0.76,-0.550,[Fe/H],-0.425,4.56,11.230,2.49300,2.0000,,-121.90,19h19m00.68s,289.7528323,+41d37m54.78s,41.6318840,36.4396000,8.6432510
Kepler-444 d,Kepler-444,3,5,Transit,2015,Kepler CCD Array,6.18939200,0.060000,0.530,0.047,0.20000,0.00063,Mass,7.900000,0.180000,109.64,783,88.160,2454967.786900,0,0.5300,0.004750,2.2112000,17.151000,0.00644,,,,,,,K,5046.00,0.75,0.76,-0.550,[Fe/H],-0.425,4.56,11.230,2.49300,2.0000,,-121.90,19h19m00.68s,289.7528323,+41d37m54.78s,41.6318840,36.4396000,8.6432510
Kepler-444 e,Kepler-444,3,5,Transit,2015,Kepler CCD Array,7.74349300,0.069600,0.546,0.049,0.10000,0.00031,Mass,4.800000,0.100000,81.34,727,89.130,2454968.092700,0,0.2900,0.005130,2.7852000,19.913000,0.00664,,,,,,,K,5046.00,0.75,0.76,-0.550,[Fe/H],-0.425,4.56,11.230,2.49300,2.0000,,-121.90,19h19m00.68s,289.7528323,+41d37m54.78s,41.6318840,36.4396000,8.6432510
Kepler-444 f,Kepler-444,3,5,Transit,2015,Kepler CCD Array,9.74048600,0.081100,0.741,0.066,0.33200,0.00104,M-R relationship,4.480000,0.290000,59.91,673,87.960,2454967.879100,0,0.7900,0.007560,1.6909000,23.205000,0.00903,,,,,,,K,5046.00,0.75,0.76,-0.550,[Fe/H],-0.425,4.56,11.230,2.49300,2.0000,,-121.90,19h19m00.68s,289.7528323,+41d37m54.78s,41.6318840,36.4396000,8.6432510
HD 41004 A b,HD 41004 A,2,2,Radial Velocity,2004,CORALIE Spectrograph,963.00000000,,13.200,1.180,807.25000,2.54000,Msini,1.930000,0.740000,,,,,0,,,,,,,2452425.000000,97.0000,99.000,,,K1/K2 V,5310.00,0.85,0.95,0.230,[Fe/H],-0.293,4.37,1.000,,2.0000,,42.51,05h59m49.58s,89.9566041,-48d14m21.91s,-48.2394189,36.6911700,
HD 141399 b,HD 141399,1,4,Radial Velocity,2014,Multiple Instruments,94.44000000,0.415000,14.300,1.280,143.34133,0.45100,Msini,0.269000,0.040000,,,,2455205.190000,0,,,,,,,2456998.000000,-90.0000,19.230,,,K0,5600.00,1.39,1.07,0.350,[Fe/H],0.201,4.28,,0.51159,2.9000,,-21.55,15h46m53.65s,236.7235392,+46d59m10.64s,46.9862880,37.0169000,7.0092600
HD 141399 c,HD 141399,1,4,Radial Velocity,2014,Multiple Instruments,201.99000000,0.689000,13.600,1.220,422.71390,1.33000,Msini,0.923000,0.048000,,,,2455626.020000,0,,,,,,,2456838.000000,-140.0000,44.200,,,K0,5600.00,1.39,1.07,0.350,[Fe/H],0.201,4.28,,0.51159,2.9000,,-21.55,15h46m53.65s,236.7235392,+46d59m10.64s,46.9862880,37.0169000,7.0092600
HD 141399 d,HD 141399,1,4,Radial Velocity,2014,Multiple Instruments,1069.80000000,2.090000,13.700,1.220,375.03940,1.18000,Msini,0.801000,0.074000,,,,2454755.600000,0,,,,,,,2456923.000000,-140.0000,22.630,,,K0,5600.00,1.39,1.07,0.350,[Fe/H],0.201,4.28,,0.51159,2.9000,,-21.55,15h46m53.65s,236.7235392,+46d59m10.64s,46.9862880,37.0169000,7.0092600
HD 141399 e,HD 141399,1,4,Radial Velocity,2014,Multiple Instruments,5000.00000000,5.000000,14.100,1.250,209.76780,0.66000,Msini,0.411000,0.260000,,,,2455729.000000,0,,,,,,,2458900.000000,-10.0000,8.800,,,K0,5600.00,1.39,1.07,0.350,[Fe/H],0.201,4.28,,0.51159,2.9000,,-21.55,15h46m53.65s,236.7235392,+46d59m10.64s,46.9862880,37.0169000,7.0092600
GJ 2030 b,GJ 2030,1,2,Radial Velocity,2022,Multiple Instruments,2.38128933,0.034411,1.980,0.177,4.59248,0.01445,Msini,3.250000,0.239302,,,,,0,,,,,,,2452938.169829,196.7159,2.363,,,,5485.00,2.24,0.96,-0.400,[M/H],0.612,3.72,,0.12025,,,,03h23m17.70s,50.8237604,-07d47m42.15s,-7.7950429,37.0788000,6.0208800
GJ 2030 c,GJ 2030,1,2,Radial Velocity,2022,Multiple Instruments,25533.11353048,16.763449,12.300,1.100,4067.84698,12.79888,Mass,12.000000,0.040554,,,16.999,,0,,,,,,,2441013.546926,205.1259,26.494,,,,5485.00,2.24,0.96,-0.400,[M/H],0.612,3.72,,0.12025,,,,03h23m17.70s,50.8237604,-07d47m42.15s,-7.7950429,37.0788000,6.0208800
HD 47186 b,HD 47186,1,2,Radial Velocity,2008,HARPS Spectrograph,4.08450000,0.050000,5.020,0.448,22.24810,0.07000,Msini,0.966000,0.040000,,,,,0,,,,,,,2454566.950000,59.0000,9.100,,,G6 V,5657.00,1.08,0.96,0.240,[Fe/H],0.043,4.36,6.500,1.05709,2.2000,,4.30,06h36m08.81s,99.0367212,-27d37m24.34s,-27.6234285,37.4574000,7.4489700
HD 47186 c,HD 47186,1,2,Radial Velocity,2008,HARPS Spectrograph,1353.60000000,2.395000,13.000,1.160,111.42000,0.35061,Msini,0.279000,0.249000,,,,,0,,,,,,,2452010.000000,26.0000,6.650,,,G6 V,5657.00,1.08,0.96,0.230,[Fe/H],0.043,4.36,6.500,1.05709,2.2000,,4.30,06h36m08.81s,99.0367212,-27d37m24.34s,-27.6234285,37.4574000,7.4489700
HD 169830 b,HD 169830,1,2,Radial Velocity,2000,CORALIE Spectrograph,225.67371788,0.764552,13.200,1.180,803.57766,2.52834,Msini,1.920000,0.293956,,345,,2455515.750000,0,,,,,,,2451246.391794,147.7426,79.460,,,F8 V,6300.00,1.94,1.17,0.210,[Fe/H],0.662,4.01,2.800,0.21453,3.8000,,-17.21,18h27m49.48s,276.9561859,-29d49m00.45s,-29.8167919,37.6048000,5.7764100
HD 169830 c,HD 169830,1,2,Radial Velocity,2003,CORALIE Spectrograph,1818.82339336,3.073402,12.700,1.130,2259.86363,7.11033,Mass,6.060000,0.246156,,,24.469,2455139.000000,0,,,,,,,2450940.582444,313.4834,49.041,,,F8 V,6179.26,1.94,1.17,0.120,[Fe/H],0.662,4.01,2.800,0.21453,3.3000,,-17.21,18h27m49.48s,276.9561859,-29d49m00.45s,-29.8167919,37.6048000,5.7764100
HAT-P-11 b,HAT-P-11,1,2,Transit,2008,2K CCD Sensor,4.88780244,0.052540,4.360,0.389,26.69772,0.08400,Mass,1.680000,0.218000,100.77,838,89.360,2455109.335119,0,0.0260,0.434210,2.3638600,16.718400,0.05799,,2454957.150000,19.0000,10.420,106.00,106.00,K4,4780.00,0.68,0.81,0.310,[Fe/H],-0.567,4.66,6.500,3.70008,1.5000,29.20,-63.24,19h50m50.44s,297.7101763,+48d04m54.71s,48.0818635,37.7647000,9.1509800
HAT-P-11 c,HAT-P-11,1,2,Radial Velocity,2018,HIRES Spectrometer,3407.00000000,4.130000,13.300,1.190,731.00900,2.30000,Mass,1.710000,0.601000,,,135.700,,0,,,,,,,2456862.000000,143.7000,30.900,,,K4,4780.00,0.68,0.81,0.310,[Fe/H],-0.564,4.66,6.500,3.70008,1.5000,29.20,-63.24,19h50m50.44s,297.7101763,+48d04m54.71s,48.0818635,37.7647000,9.1509800
HD 12661 b,HD 12661,1,2,Radial Velocity,2000,Multiple Instruments,262.70862000,0.840000,13.300,1.180,772.32690,2.43000,Msini,1.800000,0.380000,,,,2456079.280000,0,,,,,,,2454152.760000,-60.6200,73.600,,,K0,5645.00,1.20,1.20,0.360,[Fe/H],0.133,4.36,6.390,0.78842,1.3000,,-47.38,02h04m34.16s,31.1423525,+25d24m48.83s,25.4135632,37.8478000,7.2474600
HD 12661 c,HD 12661,1,2,Radial Velocity,2002,Multiple Instruments,1708.00000000,2.814500,13.400,1.200,575.88400,1.81200,Msini,1.320000,0.031000,,,,2455774.900000,0,,,,,,,2456153.420000,60.0000,30.410,,,K0,5748.00,1.11,1.02,0.360,[Fe/H],0.063,4.32,6.390,0.78842,1.3000,,-47.38,02h04m34.16s,31.1423525,+25d24m48.83s,25.4135632,37.8478000,7.2474600
K2-18 b,K2-18,1,2,Transit,2015,Kepler CCD Array,32.93962300,0.142900,2.370,0.211,8.92000,0.02807,Mass,4.110000,0.200000,1.01,284,89.579,2457264.391440,0,0.6010,0.309800,2.6820000,83.830000,0.05375,,,-5.7000,3.550,,,M2.5 V,3457.00,0.41,0.36,0.120,[Fe/H],-1.597,4.79,,7.07318,,39.63,0.65,11h30m14.43s,172.5601410,+07d35m16.19s,7.5878315,38.0266000,12.4154000
K2-18 c,K2-18,1,2,Radial Velocity,2017,HARPS Spectrograph,8.96200000,0.060000,2.650,0.236,7.51000,0.02363,Msini,2.220000,0.470000,,363,,,0,,,,,,,,,4.630,,,M2.5 V,3457.00,0.41,0.36,0.090,[Fe/H],-1.597,4.79,,7.07318,,38.60,0.65,11h30m14.43s,172.5601410,+07d35m16.19s,7.5878315,38.0266000,12.4154000
HD 31527 b,HD 31527,1,3,Radial Velocity,2019,HARPS Spectrograph,16.55350000,0.125400,3.220,0.288,10.47000,0.03290,Msini,1.720000,0.100000,,,,,0,,,,,,,2455499.545300,41.1200,2.720,,,G2 V,5898.00,1.07,0.96,-0.170,[Fe/H],0.079,4.45,,1.20634,1.9000,20.30,25.66,04h55m38.31s,73.9096193,-23d14m28.74s,-23.2413163,38.4473000,7.3322200
HD 31527 c,HD 31527,1,3,Radial Velocity,2019,HARPS Spectrograph,51.20530000,0.266300,3.850,0.343,14.16000,0.04450,Msini,1.360000,0.040000,,,,,0,,,,,,,2455526.343400,-23.2500,2.510,,,G2 V,5898.00,1.07,0.96,-0.170,[Fe/H],0.079,4.45,,1.20634,1.9000,20.30,25.66,04h55m38.31s,73.9096193,-23d14m28.74s,-23.2413163,38.4473000,7.3322200
HD 31527 d,HD 31527,1,3,Radial Velocity,2019,HARPS Spectrograph,271.67370000,0.809800,3.460,0.309,11.82000,0.03720,Msini,1.570000,0.240000,,,,,0,,,,,,,2455718.809100,179.0000,1.250,,,G2 V,5898.00,1.07,0.96,-0.170,[Fe/H],0.079,4.45,,1.20634,1.9000,20.30,25.66,04h55m38.31s,73.9096193,-23d14m28.74s,-23.2413163,38.4473000,7.3322200
HD 10180 c,HD 10180,1,6,Radial Velocity,2010,HARPS Spectrograph,5.75969000,0.064120,3.680,0.328,13.10000,0.04122,Msin(i)/sin(i),1.440000,0.073000,,,90.000,,0,,,,,,,2454001.445000,328.0000,4.545,,,G1 V,5911.00,1.11,1.06,0.080,[Fe/H],0.173,4.39,4.300,0.92213,3.0000,,35.53,01h37m53.55s,24.4731133,-60d30m41.36s,-60.5114881,38.9607000,7.1726100
HD 10180 d,HD 10180,1,6,Radial Velocity,2010,HARPS Spectrograph,16.35700000,0.128590,3.450,0.308,11.75000,0.03697,Msin(i)/sin(i),1.570000,0.131000,,,90.000,,0,,,,,,,2454022.119000,325.0000,2.935,,,G1 V,5911.00,1.11,1.06,0.080,[Fe/H],0.173,4.39,4.300,0.92213,3.0000,,35.53,01h37m53.55s,24.4731133,-60d30m41.36s,-60.5114881,38.9607000,7.1726100
HD 10180 e,HD 10180,1,6,Radial Velocity,2010,HARPS Spectrograph,49.74800000,0.269900,5.390,0.481,25.10000,0.07900,Msin(i)/sin(i),0.881000,0.051000,,,90.000,,0,,,,,,,2454006.260000,147.0000,4.283,,,G1 V,5911.00,1.11,1.06,0.080,[Fe/H],0.173,4.39,4.300,0.92213,3.0000,,35.53,01h37m53.55s,24.4731133,-60d30m41.36s,-60.5114881,38.9607000,7.1726100
HD 10180 f,HD 10180,1,6,Radial Velocity,2010,HARPS Spectrograph,122.74400000,0.492900,5.240,0.468,23.90000,0.07520,Msin(i)/sin(i),0.913000,0.119000,,,90.000,,0,,,,,,,2454024.670000,327.0000,2.862,,,G1 V,5911.00,1.11,1.06,0.080,[Fe/H],0.173,4.39,4.300,0.92213,3.0000,,35.53,01h37m53.55s,24.4731133,-60d30m41.36s,-60.5114881,38.9607000,7.1726100
HD 10180 g,HD 10180,1,6,Radial Velocity,2010,HARPS Spectrograph,604.67000000,1.427000,4.910,0.438,21.40000,0.06730,Msin(i)/sin(i),0.993000,0.263000,,,90.000,,0,,,,,,,2454002.800000,327.0000,1.754,,,G1 V,5911.00,1.11,1.06,0.080,[Fe/H],0.173,4.39,4.300,0.92213,3.0000,,35.53,01h37m53.55s,24.4731133,-60d30m41.36s,-60.5114881,38.9607000,7.1726100
HD 10180 h,HD 10180,1,6,Radial Velocity,2010,HARPS Spectrograph,2205.00000000,3.381000,9.400,0.838,64.40000,0.20300,Msin(i)/sin(i),0.426000,0.095000,,,90.000,,0,,,,,,,2453433.400000,142.0000,3.117,,,G1 V,5911.00,1.11,1.06,0.080,[Fe/H],0.173,4.39,4.300,0.92213,3.0000,,35.53,01h37m53.55s,24.4731133,-60d30m41.36s,-60.5114881,38.9607000,7.1726100
HD 23472 b,HD 23472,1,5,Transit,2019,TESS CCD Array,17.66708700,0.116200,2.000,0.178,8.32000,0.02618,Mass,6.150000,0.072000,16.00,543,88.930,2458360.664100,0,0.6900,0.073890,2.6700000,37.100000,0.02597,,,114.0000,2.680,,,K4 V,4684.00,0.71,0.67,-0.200,[Fe/H],-0.625,4.53,,2.70687,1.4500,40.10,34.55,03h41m50.17s,55.4590314,-62d46m02.16s,-62.7672667,39.0341000,9.3847600
HD 23472 c,HD 23472,1,5,Transit,2019,TESS CCD Array,29.79749000,0.164600,1.870,0.167,3.41000,0.01073,Mass,3.100000,0.063000,7.96,467,89.095,2458370.103700,0,0.7850,0.060151,2.9400000,50.200000,0.02430,,,2.0000,0.920,,,K4 V,4684.00,0.71,0.67,-0.200,[Fe/H],-0.625,4.53,,2.70687,1.4500,40.10,34.55,03h41m50.17s,55.4590314,-62d46m02.16s,-62.7672667,39.0341000,9.3847600
HD 23472 d,HD 23472,1,5,Transit,2022,TESS CCD Array,3.97664000,0.042980,0.750,0.067,0.55000,0.00173,Mass,7.500000,0.070000,117.00,909,87.950,2458357.839800,0,0.4700,0.013557,1.9900000,13.290000,0.00975,,,19.0000,0.290,,,K4 V,4684.00,0.71,0.67,-0.200,[Fe/H],-0.625,4.53,,2.70687,1.4500,40.10,34.55,03h41m50.17s,55.4590314,-62d46m02.16s,-62.7672667,39.0341000,9.3847600
HD 23472 e,HD 23472,1,5,Transit,2022,TESS CCD Array,7.90754000,0.068000,0.818,0.073,0.72000,0.00227,Mass,7.500000,0.070000,46.70,723,88.630,2458354.565900,0,0.5000,0.015750,2.4800000,21.000000,0.01065,,,46.0000,0.300,,,K4 V,4684.00,0.71,0.67,-0.200,[Fe/H],-0.625,4.53,,2.70687,1.4500,40.10,34.55,03h41m50.17s,55.4590314,-62d46m02.16s,-62.7672667,39.0341000,9.3847600
HD 23472 f,HD 23472,1,5,Transit,2022,TESS CCD Array,12.16218390,0.090600,1.137,0.101,0.77000,0.00242,Mass,3.000000,0.070000,26.30,630,88.810,2458360.075400,0,0.5700,0.029000,2.8200000,28.000000,0.01478,,,4.0000,0.290,,,K4 V,4684.00,0.71,0.67,-0.200,[Fe/H],-0.625,4.53,,2.70687,1.4500,40.10,34.55,03h41m50.17s,55.4590314,-62d46m02.16s,-62.7672667,39.0341000,9.3847600
HD 28185 b,HD 28185,1,2,Radial Velocity,2001,CORALIE Spectrograph,385.52775151,1.034659,12.800,1.140,1853.51476,5.83181,Msini,4.860000,0.054512,,,,2455438.700000,0,,,,,,,2452262.394234,356.5961,163.657,,,G5,5662.00,1.03,0.99,0.227,[Fe/H],0.016,4.42,7.500,1.11680,2.5400,,50.25,04h26m26.41s,66.6100461,-10d33m03.87s,-10.5510754,39.3809000,7.6268200
HD 28185 c,HD 28185,1,2,Radial Velocity,2022,Multiple Instruments,17417.92078705,13.109497,12.100,1.080,6224.47064,19.58437,Mass,19.300000,0.119580,,,57.650,,0,,,,,,,2444038.391499,107.7846,130.462,,,G5,5662.00,1.03,0.99,0.210,[Fe/H],0.016,4.42,2.500,1.11680,2.5400,,50.25,04h26m26.41s,66.6100461,-10d33m03.87s,-10.5510754,39.3809000,7.6268200
HD 168443 b,HD 168443,1,2,Radial Velocity,1998,HIRES Spectrometer,58.11187301,0.292241,12.600,1.130,2422.83767,7.62310,Msini,6.660000,0.529979,,,,2455272.957000,0,,,,,,,2450221.755056,172.9912,475.836,,,G5,5491.00,1.71,0.98,0.040,[Fe/H],0.382,3.99,11.080,0.29172,2.2000,,-0.05,18h20m03.84s,275.0159879,-09d35m48.09s,-9.5966905,39.6245000,6.7316600
HD 168443 c,HD 168443,1,2,Radial Velocity,2000,HIRES Spectrometer,1753.10959642,2.840843,12.200,1.080,5733.43678,18.03941,Mass,17.400000,0.209760,,,91.218,2455599.410000,0,,,,,,,2450262.364786,65.5971,298.855,,,G5,5491.00,1.71,0.98,0.040,[Fe/H],0.382,3.99,11.080,0.29172,2.2000,,-0.05,18h20m03.84s,275.0159879,-09d35m48.09s,-9.5966905,39.6245000,6.7316600
Kepler-42 b,Kepler-42,1,3,Transit,2011,Kepler CCD Array,1.21376720,0.011600,0.780,0.070,0.39900,0.00126,M-R relationship,4.620000,0.040000,22.39,519,85.570,2455003.483290,0,0.7110,0.182100,0.5532000,12.100000,0.04190,,,,,,,M,3068.00,0.17,0.13,-0.330,[M/H],-2.620,5.11,4.500,26.80000,3.3000,,-84.48,19h28m52.70s,292.2196000,+44d37m02.52s,44.6173667,40.0595000,14.9931000
Kepler-42 c,Kepler-42,1,3,Transit,2011,Kepler CCD Array,0.45328509,0.006000,0.730,0.065,0.31500,0.00099,M-R relationship,4.450000,0.000000,82.12,720,81.110,2454966.869520,0,0.5200,0.156000,0.4445000,4.440000,0.03950,,,,,,,M,3068.00,0.17,0.13,-0.330,[M/H],-2.620,5.11,4.500,26.80000,3.3000,,-84.48,19h28m52.70s,292.2196000,+44d37m02.52s,44.6173667,40.0595000,14.9931000
Kepler-42 d,Kepler-42,1,3,Transit,2011,Kepler CCD Array,1.86516900,0.015400,0.570,0.051,0.13000,0.00041,M-R relationship,3.860000,0.020000,12.54,450,88.020,2454966.784700,0,0.6810,0.112480,0.4279000,37.020000,0.03070,,,,,,,M,3068.00,0.17,0.13,-0.330,[M/H],-2.620,5.11,4.500,26.80000,3.3000,,-84.48,19h28m52.70s,292.2196000,+44d37m02.52s,44.6173667,40.0595000,14.9931000
HIP 19976 b,HIP 19976,1,2,Radial Velocity,2022,Multiple Instruments,50.65905263,0.234337,4.800,0.428,20.59095,0.06479,Msini,1.020000,0.304346,,,,,0,,,,,,,2455579.019628,188.9189,5.118,,,,4316.00,0.77,0.67,,,-0.729,4.49,,2.05045,,,,04h17m02.35s,64.2597881,-40d47m54.67s,-40.7985198,40.2707000,9.8884100
HIP 19976 c,HIP 19976,1,2,Radial Velocity,2022,Multiple Instruments,17128.35283777,11.460432,11.900,1.060,9501.75953,29.89588,Mass,31.000000,0.405505,,,60.988,,0,,,,,,,2446863.437429,90.4135,293.994,,,,4316.00,0.77,0.67,,,-0.729,4.49,,2.05045,,,,04h17m02.35s,64.2597881,-40d47m54.67s,-40.7985198,40.2707000,9.8884100
HD 147018 b,HD 147018,1,2,Radial Velocity,2009,CORALIE Spectrograph,44.23600000,0.238800,13.400,1.190,674.00000,2.12000,Msini,1.540000,0.468600,,,,,0,,,,,,,2454459.490000,-24.0300,145.330,,,G9 V,5441.00,0.94,0.93,0.100,[Fe/H],-0.148,4.42,6.360,1.67627,1.5600,,-27.35,16h22m59.76s,245.7490012,-61d41m24.46s,-61.6901291,40.4256000,8.1114500
HD 147018 c,HD 147018,1,2,Radial Velocity,2009,CORALIE Spectrograph,1008.00000000,1.922000,12.700,1.130,2080.00000,6.56000,Msini,5.580000,0.133000,,,,,0,,,,,,,2455301.000000,-133.1000,141.200,,,G9 V,5441.00,0.94,0.93,0.100,[Fe/H],-0.148,4.42,6.360,1.67627,1.5600,,-27.35,16h22m59.76s,245.7490012,-61d41m24.46s,-61.6901291,40.4256000,8.1114500
HD 215497 b,HD 215497,1,2,Radial Velocity,2009,HARPS Spectrograph,3.93404000,0.050000,2.400,0.214,6.35660,0.02000,Msini,2.530000,0.160000,,,,,0,,,,,,,2454858.950000,96.0000,3.000,,,K3 V,5110.00,0.85,0.67,0.200,[Fe/H],-0.410,4.40,7.000,1.97785,1.6700,,49.31,22h46m36.65s,341.6527140,-56d35m59.27s,-56.5997984,40.5468000,8.6860500
HD 215497 c,HD 215497,1,2,Radial Velocity,2009,HARPS Spectrograph,567.94000000,1.282000,12.500,1.110,104.30000,0.33000,Msini,0.293000,0.490000,,,,,0,,,,,,,2455003.480000,45.0000,10.100,,,K3 V,5113.00,0.90,0.87,0.230,[Fe/H],-0.410,4.31,7.000,1.97785,1.6700,,49.31,22h46m36.65s,341.6527140,-56d35m59.27s,-56.5997984,40.5468000,8.6860500
HD 206893 b,HD 206893,1,2,Imaging,2021,Gemini Planet Imager,9350.00000000,9.600000,14.011,1.250,8899.19540,28.00000,Mass,17.800000,0.140000,,1429,146.800,,0,,,,,,,,183.0000,,,,F5 V,6500.00,1.31,1.32,,,0.456,4.45,0.155,0.85063,,,-12.45,21h45m22.00s,326.3416874,-12d47m00.07s,-12.7833522,40.7583000,6.5678300
HD 206893 c,HD 206893,1,2,Imaging,2022,GRAVITY,2090.00000000,3.530000,16.365,1.460,4036.42077,12.70000,Mass,5.060000,0.410000,,1182,150.900,,0,,,,,,,,46.0000,,,,F5 V,6500.00,1.31,1.32,,,0.456,4.34,0.155,0.85063,,,-12.45,21h45m22.00s,326.3416874,-12d47m00.07s,-12.7833522,40.7583000,6.5678300
HD 83443 b,HD 83443,1,2,Radial Velocity,2002,Multiple Instruments,2.98562800,0.040600,14.100,1.250,127.76702,0.40200,Msini,0.250000,0.012000,,,,2452307.369000,0,,,,,,,2451211.240000,344.0000,56.730,,,K0 V,5442.00,0.94,1.00,0.340,[Fe/H],-0.104,4.39,2.640,1.32000,1.3000,35.30,28.89,09h37m11.86s,144.2994103,-43d16m21.80s,-43.2727210,40.8991000,8.0265000
HD 83443 c,HD 83443,1,2,Radial Velocity,2022,Multiple Instruments,8241.00000000,8.000000,13.600,1.210,476.74261,1.50000,Mass,1.040000,0.760000,,,,,0,,,,,,,,118.2000,20.700,,,K0 V,5442.00,0.94,1.00,0.340,[Fe/H],-0.104,4.39,2.640,1.32000,1.3000,35.30,28.89,09h37m11.86s,144.2994103,-43d16m21.80s,-43.2727210,40.8991000,8.0265000
HR 8799 b,HR 8799,1,4,Imaging,2008,NIRI Camera,170000.00000000,68.000000,13.000,1.200,2000.00000,7.00000,Mass,5.000000,,,1200,30.270,,0,,,,,,,2453936.000000,,,,,A5 V,7204.58,1.49,1.50,-0.470,[M/H],0.692,4.30,0.060,0.68153,34.7900,,,23h07m28.84s,346.8701486,+21d08m02.54s,21.1340376,41.2441000,5.9091400
HR 8799 c,HR 8799,1,4,Imaging,2008,NIRI Camera,69000.00000000,38.000000,13.000,1.200,3000.00000,10.00000,Mass,7.500000,0.500000,,1200,29.430,,0,,,,,,,2396093.000000,,,,,A5 V,7204.58,1.49,1.50,-0.470,[M/H],0.692,4.30,0.060,0.68153,34.7900,,,23h07m28.84s,346.8701486,+21d08m02.54s,21.1340376,41.2441000,5.9091400
