# This file was produced by the NASA Exoplanet Archive  http://exoplanetarchive.ipac.caltech.edu
# Mon Sep 19 09:09:12 2022
#
# User preference: *
#
# CONSTRAINT:  where (sy_pnum <> 1
# CONSTRAINT:  and sy_diststr not null)
# CONSTRAINT:  order by sy_dist asc
#
# COLUMN pl_name:        Planet Name
# COLUMN hostname:       Host Name
# COLUMN sy_snum:        Number of Stars
# COLUMN sy_pnum:        Number of Planets
# COLUMN pl_orbper:      Orbital Period [days]
# COLUMN pl_orbsmax:     Orbit Semi-Major Axis [au])
# COLUMN pl_rade:        Planet Radius [Earth Radius]
# COLUMN pl_radj:        Planet Radius [Jupiter Radius]
# COLUMN pl_bmasse:      Planet Mass or Mass*sin(i) [Earth Mass]
# COLUMN pl_bmassj:      Planet Mass or Mass*sin(i) [Jupiter Mass]
# COLUMN pl_bmassprov:   Planet Mass or Mass*sin(i) Provenance
# COLUMN pl_dens:        Planet Density [g/cm**3]
# COLUMN pl_orbeccen:    Eccentricity
# COLUMN pl_insol:       Insolation Flux [Earth Flux]
# COLUMN pl_eqt:         Equilibrium Temperature [K]
# COLUMN pl_orbincl:     Inclination [deg]
# COLUMN pl_ratdor:      Ratio of Semi-Major Axis to Stellar Radius
# COLUMN pl_ratror:      Ratio of Planet to Stellar Radius
# COLUMN pl_rvamp:       Radial Velocity Amplitude [m/s]
# COLUMN st_spectype:    Spectral Type
# COLUMN st_teff:        Stellar Effective Temperature [K]
# COLUMN st_rad:         Stellar Radius [Solar Radius]
# COLUMN st_mass:        Stellar Mass [Solar mass]
# COLUMN st_met:         Stellar Metallicity [dex]
# COLUMN st_metratio:    Stellar Metallicity Ratio
# COLUMN st_lum:         Stellar Luminosity [log(Solar)]
# COLUMN st_logg:        Stellar Surface Gravity [log10(cm/s**2)]
# COLUMN st_age:         Stellar Age [Gyr]
# COLUMN st_dens:        Stellar Density [g/cm**3]
# COLUMN st_vsin:        Stellar Rotational Velocity [km/s]
# COLUMN st_rotp:        Stellar Rotational Period [days]
# COLUMN st_radv:        Systemic Radial Velocity [km/s]
# COLUMN rastr:          RA [sexagesimal]
# COLUMN ra:             RA [deg]
# COLUMN decstr:         Dec [sexagesimal]
# COLUMN dec:            Dec [deg]
# COLUMN sy_dist:        Distance [pc]
# COLUMN sy_plx:         Parallax [mas]
#
pl_name,hostname,sy_snum,sy_pnum,pl_orbper,pl_orbsmax,pl_rade,pl_radj,pl_bmasse,pl_bmassj,pl_bmassprov,pl_dens,pl_orbeccen,pl_insol,pl_eqt,pl_orbincl,pl_ratdor,pl_ratror,pl_rvamp,st_spectype,st_teff,st_rad,st_mass,st_met,st_metratio,st_lum,st_logg,st_age,st_dens,st_vsin,st_rotp,st_radv,rastr,ra,decstr,dec,sy_dist,sy_plx
TOI-500 d,TOI-500,1,4,26.23300000,,6.350,0.567,33.12000,0.10421,Msini,0.711000,0.016000,,,,,,8.720,K6 V,4440.00,0.68,0.74,0.120,[Fe/H],-0.700,4.62,5.000,2.32228,1.1000,,,07h06m14.18s,106.5590980,-47d35m16.14s,-47.5878156,47.3924000,21.0715000
TOI-500 e,TOI-500,1,4,61.30000000,,3.990,0.356,15.05000,0.04735,Msini,1.300000,0.073000,,,,,,3.000,K6 V,4440.00,0.68,0.74,0.120,[Fe/H],-0.700,4.62,5.000,2.32228,1.1000,,,07h06m14.18s,106.5590980,-47d35m16.14s,-47.5878156,47.3924000,21.0715000
gam Lib b,gam Lib,1,2,415.20000000,1.240000,13.800,1.230,324.18660,1.02000,Msini,0.678000,0.210000,,,,,,22.000,K0 III,4822.00,11.10,1.47,-0.300,[Fe/H],1.850,2.47,2.820,,1.5500,,,15h35m31.65s,233.8818636,-14d47m22.21s,-14.7895020,47.4017000,21.0823000
gam Lib c,gam Lib,1,2,964.60000000,2.170000,12.900,1.150,1455.66140,4.58000,Msini,3.730000,0.057000,,,,,,73.000,K0 III,4822.00,11.10,1.47,-0.300,[Fe/H],1.850,2.47,2.820,,1.5500,,,15h35m31.65s,233.8818636,-14d47m22.21s,-14.7895020,47.4017000,21.0823000
HD 204313 b,HD 204313,1,2,1920.09998000,3.070000,13.100,1.170,1099.69180,3.46000,Msini,2.690000,0.230000,,,,,,57.000,G5 V,5783.00,1.10,1.03,0.160,[Fe/H],0.100,4.37,3.380,1.01537,2.4000,,-9.74,21h28m12.25s,322.0510568,-21d43m38.71s,-21.7274194,47.7945000,20.8943000
HD 204313 c,HD 204313,1,2,34.90500000,0.209900,4.380,0.390,17.60000,0.05530,Msini,1.150000,0.155000,,,,,,3.420,G5 V,5776.00,1.13,1.02,0.180,[Fe/H],0.100,4.38,3.380,1.01537,2.4000,,-9.74,21h28m12.25s,322.0510568,-21d43m38.71s,-21.7274194,47.7945000,20.8943000
HD 213885 b,HD 213885,1,2,1.00803500,0.020120,1.745,0.156,8.83000,0.02778,Mass,9.150000,0.000000,3253.81,2128,80.090,3.927000,0.01453,5.300,G,5978.00,1.10,1.07,-0.040,[Fe/H],0.139,4.38,3.800,1.12700,3.0000,18.58,36.22,22h35m56.09s,338.9837166,-59d51m53.38s,-59.8648290,48.0883000,20.7663000
HD 213885 c,HD 213885,1,2,4.78503000,0.056798,4.710,0.420,19.95000,0.06277,Msini,1.050000,0.000000,,1265,,,,7.260,G,5978.00,1.10,1.07,-0.040,[Fe/H],0.139,4.38,3.800,1.12700,3.0000,18.58,36.22,22h35m56.09s,338.9837166,-59d51m53.38s,-59.8648290,48.0883000,20.7663000
HD 63935 b,HD 63935,1,2,9.05881100,,2.990,0.267,10.80000,0.03398,Mass,2.200000,0.000000,115.60,911,88.490,18.640000,0.02850,3.180,,5534.00,0.96,0.93,0.070,[Fe/H],-0.098,4.38,6.800,1.55034,,,,07h51m41.91s,117.9246417,+09d23m06.87s,9.3852412,48.9739000,20.3902000
HD 63935 c,HD 63935,1,2,21.40230000,,2.900,0.259,11.10000,0.03492,Mass,2.500000,0.000000,36.70,684,88.241,33.060000,0.02770,2.710,,5534.00,0.96,0.93,0.070,[Fe/H],-0.098,4.38,6.800,1.55034,,,,07h51m41.91s,117.9246417,+09d23m06.87s,9.3852412,48.9739000,20.3902000
HD 107148 b,HD 107148,2,2,48.05600000,0.269000,9.600,0.856,66.74100,0.21000,Msini,0.415000,0.050000,,,,,,10.900,G5 V,5797.00,1.17,1.12,0.314,[Fe/H],0.121,4.45,5.600,0.93155,0.7300,,25.13,12h19m13.43s,184.8059773,-03d19m11.97s,-3.3199927,49.4156000,20.2077000
HD 107148 c,HD 107148,2,2,18.32670000,0.140700,4.700,0.420,19.89606,0.06260,Msini,1.050000,0.340000,,,,,,4.840,G5 V,5752.92,1.17,1.11,0.296,[Fe/H],0.121,4.35,5.600,0.93155,0.7000,,25.13,12h19m13.43s,184.8059773,-03d19m11.97s,-3.3199927,49.4156000,20.2077000
HD 9446 b,HD 9446,1,2,30.05200000,0.189000,14.000,1.250,222.47200,0.70000,Msini,0.446000,0.200000,,,,,,46.600,G5 V,5793.00,1.00,1.00,0.090,[Fe/H],0.041,4.53,,1.51723,4.0000,,21.71,01h33m20.41s,23.3350424,+29d15m53.71s,29.2649187,50.3503000,19.8336000
HD 9446 c,HD 9446,1,2,192.90000000,0.654000,13.400,1.200,578.42600,1.82000,Msini,1.320000,0.060000,,,,,,63.900,G5 V,5793.00,1.00,1.00,0.090,[Fe/H],0.041,4.53,,1.51723,4.0000,,21.71,01h33m20.41s,23.3350424,+29d15m53.71s,29.2649187,50.3503000,19.8336000
HIP 14810 b,HIP 14810,1,3,6.67389200,0.069600,13.000,1.160,1239.53700,3.90000,Msini,3.100000,0.143990,,,,,,423.340,G5,5544.00,1.07,1.01,0.240,[Fe/H],-0.010,4.32,5.840,1.27778,0.5400,,-4.75,03h11m14.23s,47.8092750,+21d05m49.67s,21.0971302,50.4800000,19.7810000
HIP 14810 c,HIP 14810,1,3,147.74700000,0.549000,13.600,1.220,416.35730,1.31000,Msini,0.910000,0.156600,,,,,,50.910,G5,5544.00,1.07,1.01,0.240,[Fe/H],-0.010,4.22,5.840,1.27778,0.5400,,-4.75,03h11m14.23s,47.8092750,+21d05m49.67s,21.0971302,50.4800000,19.7810000
HIP 14810 d,HIP 14810,1,3,981.80000000,1.940000,14.100,1.260,187.51970,0.59000,Msini,0.368000,0.185000,,,,,,12.170,G5,5544.00,1.07,1.01,0.240,[Fe/H],-0.010,4.22,5.840,1.27778,0.5400,,-4.75,03h11m14.23s,47.8092750,+21d05m49.67s,21.0971302,50.4800000,19.7810000
HD 11506 b,HD 11506,1,2,1622.10000000,2.900000,12.900,1.150,1535.11890,4.83000,Msini,3.930000,0.374300,,,,,,78.170,G0 V,6030.00,1.34,1.24,0.340,[Fe/H],0.330,4.43,2.300,0.64130,5.0000,12.60,-7.37,01h52m50.56s,28.2106607,-19d30m26.63s,-19.5073960,51.2610000,19.4792000
HD 11506 c,HD 11506,1,2,223.41000000,0.774000,14.200,1.270,129.67464,0.40800,Msini,0.249000,0.193000,,,,,,12.100,G0 V,6030.00,1.34,1.24,0.340,[Fe/H],0.330,4.30,2.300,0.64130,5.0000,12.60,-7.37,01h52m50.56s,28.2106607,-19d30m26.63s,-19.5073960,51.2610000,19.4792000
HD 133131 B b,HD 133131 B,2,3,5769.00000000,6.150000,13.300,1.180,794.57500,2.50000,Msini,1.860000,0.610000,,,,,,37.410,G2 V,5805.00,0.99,0.93,-0.281,[Fe/H],-0.009,4.41,9.700,1.71610,7.0000,,-15.34,15h03m35.99s,225.8999745,-27d50m29.74s,-27.8415947,51.2993000,19.4648000
HD 133131 A b,HD 133131 A,2,3,649.00000000,1.440000,13.600,1.210,451.31860,1.42000,Msini,0.986000,0.330000,,,,,,36.520,G2 V,5799.00,0.96,0.95,-0.306,[Fe/H],-0.017,4.39,9.700,1.71570,4.0000,,-15.80,15h03m35.63s,225.8984524,-27d50m35.29s,-27.8431369,51.4736000,19.3988000
HD 133131 A c,HD 133131 A,2,3,3568.00000000,4.490000,14.300,1.280,133.48860,0.42000,Msini,0.251000,0.490000,,,,,,6.890,G2 V,5799.00,0.96,0.95,-0.306,[Fe/H],-0.017,4.39,9.700,1.71570,4.0000,,-15.80,15h03m35.63s,225.8984524,-27d50m35.29s,-27.8431369,51.4736000,19.3988000
HIP 5158 b,HIP 5158,1,2,345.72000000,0.890000,13.600,1.210,451.00000,1.42000,Msini,0.985000,0.520000,,,,,,59.050,,4962.00,0.75,0.78,0.100,[Fe/H],-0.959,4.37,6.000,2.56445,,,15.28,01h06m02.28s,16.5094891,-22d27m13.01s,-22.4536134,51.6026000,19.3500000
HIP 5158 c,HIP 5158,1,2,9017.76000000,7.700000,12.200,1.090,4780.16320,15.04000,Msini,14.500000,0.140000,,,,,,170.540,,4813.00,0.75,0.78,0.170,[M/H],-0.561,4.58,6.000,2.56445,,,15.28,01h06m02.28s,16.5094891,-22d27m13.01s,-22.4536134,51.6026000,19.3500000
HD 66428 b,HD 66428,1,2,2263.12000000,3.467000,13.100,1.170,1018.32732,3.20400,Msini,2.490000,0.493000,,,,,,54.030,G8 IV (+ G),5773.00,1.10,1.08,0.230,[Fe/H],0.096,4.36,3.515,0.91809,0.0000,38.00,43.99,08h03m28.60s,120.8691654,-01d09m48.97s,-1.1636019,53.2817000,18.7398000
HD 66428 c,HD 66428,1,2,39000.00000000,23.000000,11.900,1.070,8581.36699,27.00000,Msini,28.000000,0.320000,,,,,,150.000,G8 IV (+ G),5647.60,1.17,1.05,0.271,[Fe/H],0.096,4.32,3.515,0.91809,0.0000,38.00,43.99,08h03m28.60s,120.8691654,-01d09m48.97s,-1.1636019,53.2817000,18.7398000
HD 191939 b,HD 191939,1,5,8.88029000,0.078000,3.390,0.302,10.40000,0.03272,Mass,1.500000,0.000000,84.96,893,88.060,,0.03360,3.800,G9 V,5348.00,0.94,0.81,-0.150,[Fe/H],-0.187,4.30,8.700,1.55000,2.0000,,-9.50,20h08m06.15s,302.0256247,+66d51m01.09s,66.8503014,53.6089000,18.6247000
HD 191939 c,HD 191939,1,5,28.58050000,0.170000,3.080,0.275,7.20000,0.02265,Mass,1.400000,0.000000,12.16,605,89.090,,0.03060,1.800,G9 V,5348.00,0.94,0.81,-0.150,[Fe/H],-0.187,4.30,8.700,1.55000,2.0000,,-9.50,20h08m06.15s,302.0256247,+66d51m01.09s,66.8503014,53.6089000,18.6247000
HD 191939 d,HD 191939,1,5,38.35250000,0.207000,3.040,0.271,5.80000,0.01825,Mass,0.500000,0.000000,14.09,549,89.430,,0.03020,0.600,G9 V,5348.00,0.94,0.81,-0.150,[Fe/H],-0.187,4.30,8.700,1.55000,2.0000,,-9.50,20h08m06.15s,302.0256247,+66d51m01.09s,66.8503014,53.6089000,18.6247000
HD 191939 e,HD 191939,1,5,101.50000000,0.397000,12.700,1.140,108.00000,0.33981,Msini,0.290000,0.000000,,397,88.700,,,17.200,G9 V,5348.00,0.94,0.81,-0.150,[Fe/H],-0.187,4.30,8.700,1.55000,2.0000,,-9.50,20h08m06.15s,302.0256247,+66d51m01.09s,66.8503014,53.6089000,18.6247000
HD 191939 f,HD 191939,1,5,4450.00000000,4.800000,12.700,1.130,2065.00000,6.49722,Msini,5.540000,0.000000,,,,,,23.000,G9 V,5348.00,0.94,0.81,-0.150,[Fe/H],-0.187,4.30,8.700,1.55000,2.0000,,-9.50,20h08m06.15s,302.0256247,+66d51m01.09s,66.8503014,53.6089000,18.6247000
HD 183263 b,HD 183263,1,2,626.51599000,1.490000,13.000,1.160,1255.42850,3.95000,Msini,3.140000,0.360000,,,,,,84.000,G2 IV,5948.00,1.23,1.31,0.290,[Fe/H],0.250,4.37,8.130,0.69443,1.6000,,-50.34,19h28m24.55s,292.1022982,+08d21m28.51s,8.3579183,54.1955000,18.4229000
HD 183263 c,HD 183263,1,2,3070.00000000,4.350000,13.000,1.160,1134.61000,3.57000,Msini,2.840000,0.239000,,,,,,46.300,G2 IV,5867.00,1.29,1.06,0.270,[M/H],0.250,4.24,4.520,0.69443,1.6000,,-50.34,19h28m24.55s,292.1022982,+08d21m28.51s,8.3579183,54.1955000,18.4229000
HD 4732 b,HD 4732,2,2,360.20000000,1.190000,13.300,1.190,753.23000,2.37000,Msini,1.760000,0.130000,,,,,,47.300,K0 IV,4959.00,5.40,1.74,0.010,[Fe/H],1.190,3.16,1.470,,1.4500,,25.00,00h49m14.04s,12.3085089,-24d08m12.87s,-24.1369079,54.7841000,18.2248000
HD 4732 c,HD 4732,2,2,2732.00000000,4.600000,13.300,1.190,753.23000,2.37000,Msini,1.760000,0.230000,,,,,,24.400,K0 IV,4959.00,5.40,1.74,0.010,[Fe/H],1.190,3.16,1.470,,1.4500,,25.00,00h49m14.04s,12.3085089,-24d08m12.87s,-24.1369079,54.7841000,18.2248000
HD 30177 b,HD 30177,1,2,2527.83000000,3.704000,12.600,1.120,2740.33026,8.62200,Msini,7.530000,0.162000,,,,,,125.980,G8 V,5607.00,1.02,1.05,0.390,[Fe/H],0.083,4.42,2.525,0.81457,2.9600,45.00,62.80,04h41m54.50s,70.4770964,-58d01m14.91s,-58.0208085,55.5867000,17.9611000
HD 30177 c,HD 30177,1,2,11613.00000000,9.890000,12.600,1.130,2415.50800,7.60000,Msini,6.640000,0.220000,,,,,,70.800,G8 V,5580.00,1.18,0.99,0.330,[Fe/H],0.084,4.41,11.600,0.81457,2.9600,45.00,62.80,04h41m54.50s,70.4770964,-58d01m14.91s,-58.0208085,55.5867000,17.9611000
HD 159868 b,HD 159868,1,2,1184.10000000,2.320000,13.300,1.190,704.94694,2.21800,Msini,1.650000,0.024000,,,,,,37.920,G5 V,5534.00,2.13,1.19,-0.080,[Fe/H],0.556,3.92,7.570,0.15582,0.9600,,-23.45,17h38m59.20s,264.7466665,-43d08m46.44s,-43.1462347,55.8503000,17.8763000
HD 159868 c,HD 159868,1,2,351.00000000,1.032000,14.000,1.250,244.09344,0.76800,Msini,0.489000,0.184000,,,,,,20.000,G5 V,5534.00,2.13,1.19,-0.080,[Fe/H],0.555,3.92,7.570,0.15582,0.9600,,-23.45,17h38m59.20s,264.7466665,-43d08m46.44s,-43.1462347,55.8503000,17.8763000
HD 109271 b,HD 109271,1,2,7.85430000,0.079000,4.310,0.385,17.16200,0.05400,Msini,1.180000,0.250000,,,,,,5.600,G5 V,5783.00,1.29,1.05,0.100,[Fe/H],0.301,4.28,7.300,0.74379,2.7000,,-4.90,12h33m35.38s,188.3973970,-11d37m17.47s,-11.6215204,55.8716000,17.8697000
HD 109271 c,HD 109271,1,2,30.93000000,0.196000,5.270,0.470,24.15400,0.07600,Msini,0.907000,0.150000,,,,,,4.900,G5 V,5783.00,1.29,1.05,0.100,[Fe/H],0.301,4.28,7.300,0.74379,2.7000,,-4.90,12h33m35.38s,188.3973970,-11d37m17.47s,-11.6215204,55.8716000,17.8697000
HD 5278 b,HD 5278,1,2,14.33915600,0.120200,2.450,0.219,7.80000,0.02454,Mass,2.900000,0.080000,132.00,943,89.270,22.400000,0.01874,1.930,F V,6203.00,1.19,1.13,-0.120,[Fe/H],0.280,4.50,3.000,0.93190,4.1000,16.80,,00h50m11.23s,12.5467785,-83d44m37.56s,-83.7437671,57.5846000,17.3368000
HD 5278 c,HD 5278,1,2,40.87000000,0.241600,4.490,0.401,18.40000,0.05789,Msini,1.120000,0.070000,,,,,,3.170,F V,6203.00,1.19,1.13,-0.120,[Fe/H],0.280,4.50,3.000,0.93190,4.1000,16.80,,00h50m11.23s,12.5467785,-83d44m37.56s,-83.7437671,57.5846000,17.3368000
HD 74156 b,HD 74156,1,2,51.64500000,0.292000,13.400,1.200,572.07000,1.80000,Msini,1.310000,0.627000,,,,,,109.600,G0,6068.00,1.51,1.24,0.110,[Fe/H],0.401,4.14,3.700,0.47904,4.3000,,3.84,08h42m25.15s,130.6047813,+04d34m38.04s,4.5772338,57.6030000,17.3315000
HD 74156 c,HD 74156,1,2,2473.00000000,3.850000,12.600,1.120,2561.60000,8.06000,Msini,7.040000,0.432000,,,,,,116.500,G0,6068.00,1.51,1.24,0.110,[Fe/H],0.401,4.14,3.700,0.47904,4.3000,,3.84,08h42m25.15s,130.6047813,+04d34m38.04s,4.5772338,57.6030000,17.3315000
HD 125612 b,HD 125612,2,3,557.04000000,1.372000,13.100,1.170,985.27300,3.10000,Msini,2.410000,0.455300,,,,,,80.460,G3 V,5841.00,1.05,1.11,0.220,[Fe/H],0.060,4.45,1.770,1.01748,2.1000,10.50,-18.40,14h20m53.45s,215.2227183,-17d28m54.53s,-17.4818147,57.6207000,17.3261000
HD 125612 c,HD 125612,2,3,4.15514000,0.052400,4.360,0.389,17.48065,0.05500,Msini,1.160000,0.049000,,,,,,6.460,G3 V,5841.00,1.05,1.11,0.220,[Fe/H],0.060,4.41,1.770,1.01748,2.1000,10.50,-18.40,14h20m53.45s,215.2227183,-17d28m54.53s,-17.4818147,57.6207000,17.3261000
HD 125612 d,HD 125612,2,3,2835.00000000,4.060000,12.600,1.130,2313.80240,7.28000,Msini,6.360000,0.117200,,,,,,98.370,G3 V,5841.00,1.05,1.11,0.220,[Fe/H],0.060,4.41,1.770,1.01748,2.1000,10.50,-18.40,14h20m53.45s,215.2227183,-17d28m54.53s,-17.4818147,57.6207000,17.3261000
TOI-1130 b,TOI-1130,1,2,4.06649900,0.043940,3.650,0.326,12.90000,0.04070,M-R relationship,1.460000,0.220000,48.04,810,87.980,13.750000,0.04860,,K7,4250.00,0.69,0.68,0.200,[Fe/H],-0.854,4.60,8.200,2.97000,4.0000,,-9.52,19h05m30.24s,286.3760037,-41d26m15.50s,-41.4376399,58.2609000,17.1355000
TOI-1130 c,TOI-1130,1,2,8.35038100,0.070980,16.814,1.500,309.56642,0.97400,Mass,0.380000,0.047000,19.93,637,87.430,22.210000,0.21800,125.900,K7,4250.00,0.69,0.68,0.200,[Fe/H],-0.854,4.60,8.200,2.97000,4.0000,,-9.52,19h05m30.24s,286.3760037,-41d26m15.50s,-41.4376399,58.2609000,17.1355000
TOI-712 b,TOI-712,1,3,9.53136100,0.079280,2.049,0.183,4.85000,0.01530,M-R relationship,3.100000,0.540000,22.60,650,88.220,,0.02772,,K4.5 V,4622.00,0.67,0.73,-0.020,[Fe/H],-0.728,4.65,0.830,3.36000,,12.45,3.16,06h11m44.67s,92.9361063,-65d49m33.02s,-65.8258386,58.6212000,17.0297000
TOI-712 c,TOI-712,1,3,51.69906000,0.244700,2.701,0.241,7.76000,0.02440,M-R relationship,2.160000,0.089000,3.08,370,89.780,,0.03669,,K4.5 V,4622.00,0.67,0.73,-0.020,[Fe/H],-0.728,4.65,0.830,3.36000,,12.45,3.16,06h11m44.67s,92.9361063,-65d49m33.02s,-65.8258386,58.6212000,17.0297000
TOI-712 d,TOI-712,1,3,84.83960000,0.340500,2.474,0.221,6.68000,0.02100,M-R relationship,2.420000,0.073000,1.60,314,89.817,,0.03362,,K4.5 V,4622.00,0.67,0.73,-0.020,[Fe/H],-0.728,4.65,0.830,3.36000,,12.45,3.16,06h11m44.67s,92.9361063,-65d49m33.02s,-65.8258386,58.6212000,17.0297000
HD 207832 b,HD 207832,3,2,160.07000000,0.586000,14.200,1.260,177.98480,0.56000,Msini,0.342000,0.197000,,,,,,20.730,G5 V,5726.00,0.89,1.05,0.140,[Fe/H],-0.110,4.48,1.360,1.52470,3.0000,,-16.48,21h52m36.43s,328.1517893,-26d01m37.83s,-26.0271749,58.9291000,16.9408000
HD 207832 c,HD 207832,3,2,1155.70000000,2.112000,14.000,1.250,232.01590,0.73000,Msini,0.465000,0.270000,,,,,,15.300,G5 V,5710.00,0.90,0.94,0.140,[Fe/H],-0.112,4.48,1.360,1.52470,3.0000,,-16.48,21h52m36.43s,328.1517893,-26d01m37.83s,-26.0271749,58.9291000,16.9408000
K2-136 b,K2-136,2,3,7.97529200,,0.990,0.088,0.93700,0.00295,M-R relationship,5.310000,0.100000,,553,89.300,23.100000,0.01370,,K5.5,4499.00,0.66,0.74,0.150,[Fe/H],-0.788,4.66,0.688,3.52000,3.0000,15.00,39.76,04h29m39.09s,67.4128615,+22d52m57.24s,22.8825674,59.2474000,16.8497000
K2-136 c,K2-136,2,3,17.30713700,0.117280,2.910,0.260,8.80000,0.02770,M-R relationship,1.960000,0.130000,11.90,425,89.600,39.000000,0.04010,,K5.5,4499.00,0.66,0.74,0.150,[Fe/H],-0.788,4.66,0.688,3.52000,3.0000,15.00,39.76,04h29m39.09s,67.4128615,+22d52m57.24s,22.8825674,59.2474000,16.8497000
K2-136 d,K2-136,2,3,25.57506500,,1.450,0.129,2.70000,0.00849,M-R relationship,4.870000,0.140000,,373,89.400,50.700000,0.02010,,K5.5,4499.00,0.66,0.74,0.150,[Fe/H],-0.788,4.66,0.688,3.52000,3.0000,15.00,39.76,04h29m39.09s,67.4128615,+22d52m57.24s,22.8825674,59.2474000,16.8497000
HD 108874 b,HD 108874,1,2,394.48123000,1.040000,13.600,1.210,451.31860,1.42000,Msini,0.986000,0.130000,,,,,,37.300,G5,5600.00,1.05,1.10,0.260,[Fe/H],-0.001,4.44,8.000,1.06371,2.2000,,-30.70,12h30m27.02s,187.6126029,+22d52m45.98s,22.8794399,59.5175000,16.7730000
HD 108874 c,HD 108874,1,2,1624.00000000,2.659000,13.800,1.230,314.64000,0.99000,Msini,0.658000,0.239000,,,,,,18.200,G5,5551.00,1.09,0.95,0.190,[Fe/H],-0.001,4.36,8.000,1.06371,2.2000,,-30.70,12h30m27.02s,187.6126029,+22d52m45.98s,22.8794399,59.5175000,16.7730000
HD 68988 b,HD 68988,1,2,6.27711000,0.070000,13.400,1.200,626.12510,1.97000,Msini,1.430000,0.120000,,,,,,184.700,G2 V,5932.00,1.19,1.28,0.350,[Fe/H],0.222,4.40,6.000,0.77119,2.8400,,-69.50,08h18m22.45s,124.5935429,+61d27m39.07s,61.4608518,60.8447000,16.4066000
HD 68988 c,HD 68988,1,2,16000.00000000,13.200000,12.300,1.090,4767.42610,15.00000,Msini,14.100000,0.450000,,,,,,121.000,G2 V,5883.41,1.26,1.17,0.305,[Fe/H],0.222,4.31,3.400,0.77119,2.8000,,-69.50,08h18m22.45s,124.5935429,+61d27m39.07s,61.4608518,60.8447000,16.4066000
HIP 65407 b,HIP 65407,1,2,28.12500000,0.177000,14.300,1.280,136.03124,0.42800,Msini,0.256000,0.140000,,,,,,30.500,K0,5460.00,0.95,0.93,0.250,[Fe/H],-0.186,4.47,,1.57198,2.8000,,-8.72,13h24m21.04s,201.0876630,+48d53m05.04s,48.8847322,61.7804000,16.1574000
HIP 65407 c,HIP 65407,1,2,67.30000000,0.316000,13.900,1.240,249.17872,0.78400,Msini,0.510000,0.120000,,,,,,41.500,K0,5460.00,0.95,0.93,0.250,[Fe/H],-0.186,4.47,,1.57198,2.8000,,-8.72,13h24m21.04s,201.0876630,+48d53m05.04s,48.8847322,61.7804000,16.1574000
K2-141 b,K2-141,1,2,0.28032440,0.007160,1.510,0.135,5.08000,0.01598,Mass,8.200000,0.000000,,2039,86.300,2.292000,0.02037,6.250,K7 V,4599.00,0.68,0.71,-0.060,[Fe/H],-0.750,4.62,6.300,3.16400,3.0000,14.03,-3.62,23h23m40.09s,350.9170464,-01d11m21.06s,-1.1891827,61.8736000,16.1332000
K2-141 c,K2-141,1,2,7.74850000,,7.000,0.624,7.40000,0.02328,Mass,,0.000000,,,87.200,21.590000,0.09400,3.000,K7 V,4599.00,0.68,0.71,-0.060,[Fe/H],-0.750,4.62,6.300,3.16400,3.0000,14.03,-3.62,23h23m40.09s,350.9170464,-01d11m21.06s,-1.1891827,61.8736000,16.1332000
DMPP-1 b,DMPP-1,1,4,18.57000000,0.146200,5.290,0.472,24.27000,0.07636,Msini,0.901000,0.083000,,877,,,,5.162,F8 V,6196.00,1.26,1.21,,,0.320,4.41,2.010,0.81281,3.4100,,28.61,05h47m06.27s,86.7761233,-10d37m49.16s,-10.6303217,62.5388000,15.9613000
DMPP-1 c,DMPP-1,1,4,6.58400000,0.073300,3.060,0.273,9.60000,0.03020,Msini,1.840000,0.057000,,1239,,,,2.884,F8 V,6196.00,1.26,1.21,,,0.320,4.41,2.010,0.81281,3.4100,,28.61,05h47m06.27s,86.7761233,-10d37m49.16s,-10.6303217,62.5388000,15.9613000
DMPP-1 d,DMPP-1,1,4,2.88200000,0.042200,1.650,0.147,3.35000,0.01054,Msini,4.100000,0.070000,,1632,,,,1.326,F8 V,6196.00,1.26,1.21,,,0.320,4.41,2.010,0.81281,3.4100,,28.61,05h47m06.27s,86.7761233,-10d37m49.16s,-10.6303217,62.5388000,15.9613000
DMPP-1 e,DMPP-1,1,4,5.51600000,0.065100,1.860,0.166,4.13000,0.01299,Msini,3.530000,0.070000,,1314,,,,1.316,F8 V,6196.00,1.26,1.21,,,0.320,4.41,2.010,0.81281,3.4100,,28.61,05h47m06.27s,86.7761233,-10d37m49.16s,-10.6303217,62.5388000,15.9613000
TOI-178 b,TOI-178,1,6,1.91455800,0.026070,1.152,0.103,1.50000,0.00472,Mass,5.400000,,,1040,88.800,8.610000,0.01623,1.050,K,4316.00,0.65,0.65,-0.230,[Fe/H],-0.879,4.45,7.100,3.31000,1.5000,,57.38,00h29m12.48s,7.3020115,-30d27m14.82s,-30.4541159,62.6990000,15.9205000
TOI-178 c,TOI-178,1,6,3.23845000,0.037000,1.669,0.149,4.77000,0.01501,Mass,5.620000,,97.62,873,88.400,12.230000,0.02350,2.770,K,4316.00,0.65,0.65,-0.230,[Fe/H],-0.879,4.45,7.100,3.31000,1.5000,,57.38,00h29m12.48s,7.3020115,-30d27m14.82s,-30.4541159,62.6990000,15.9205000
